type,selected_severity,description,location,target_severity,model_text
SAFETY,MEDIUM,חוטי חשמל חשופים ליד הכניסה זה קורה כבר כמה פעמים,ליד ארון החשמל,HIGH,type_SAFETY selected_MEDIUM location_ליד ארון החשמל חוטי חשמל חשופים ליד הכניסה זה קורה כבר כמה פעמים
SAFETY,MEDIUM,מעקה מעט רופף אבל לא נראה מסוכן כרגע,בקומה 2,LOW,type_SAFETY selected_MEDIUM location_בקומה 2 מעקה מעט רופף אבל לא נראה מסוכן כרגע
SAFETY,HIGH,חוטי חשמל חשופים ליד הכניסה זה קורה כבר כמה פעמים,במחסן,HIGH,type_SAFETY selected_HIGH location_במחסן חוטי חשמל חשופים ליד הכניסה זה קורה כבר כמה פעמים
SAFETY,HIGH,יש ניצוצות מארון החשמל בלובי נא לטפל בהקדם,בכניסה לבניין,HIGH,type_SAFETY selected_HIGH location_בכניסה לבניין יש ניצוצות מארון החשמל בלובי נא לטפל בהקדם
SAFETY,HIGH,חוטי חשמל חשופים ליד הכניסה,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי חוטי חשמל חשופים ליד הכניסה
SAFETY,LOW,מעקה מעט רופף אבל לא נראה מסוכן כרגע זה קורה כבר כמה פעמים,בקומה 5,LOW,type_SAFETY selected_LOW location_בקומה 5 מעקה מעט רופף אבל לא נראה מסוכן כרגע זה קורה כבר כמה פעמים
OTHER,MEDIUM,בעיה שחוזרת כמה פעמים ודורשת טיפול,בחניה,MEDIUM,type_OTHER selected_MEDIUM location_בחניה בעיה שחוזרת כמה פעמים ודורשת טיפול
NOISE,LOW,רעש חזק בלילה שמפריע לדיירים נא לטפל בהקדם,בחניה,MEDIUM,type_NOISE selected_LOW location_בחניה רעש חזק בלילה שמפריע לדיירים נא לטפל בהקדם
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד הדיירים התלוננו על זה,בלובי,LOW,type_NOISE selected_LOW location_בלובי יש דיבורים בקומה אבל זה לא מפריע מאוד הדיירים התלוננו על זה
SAFETY,LOW,דלת המחסן לא נסגרת טוב,ליד המעלית,LOW,type_SAFETY selected_LOW location_ליד המעלית דלת המחסן לא נסגרת טוב
OTHER,MEDIUM,אירוע חירום שדורש טיפול מיידי,בחדר אשפה,HIGH,type_OTHER selected_MEDIUM location_בחדר אשפה אירוע חירום שדורש טיפול מיידי
OTHER,MEDIUM,יש בעיה מתמשכת בבניין,בחדר אשפה,MEDIUM,type_OTHER selected_MEDIUM location_בחדר אשפה יש בעיה מתמשכת בבניין
SAFETY,HIGH,ריח גז חזק בבניין,בחדר מדרגות,HIGH,type_SAFETY selected_HIGH location_בחדר מדרגות ריח גז חזק בבניין
SAFETY,MEDIUM,מעקה רופף שצריך תיקון בהקדם,בכניסה לבניין,MEDIUM,type_SAFETY selected_MEDIUM location_בכניסה לבניין מעקה רופף שצריך תיקון בהקדם
NOISE,MEDIUM,רעש חזק בלילה שמפריע לדיירים,ליד המעלית,MEDIUM,type_NOISE selected_MEDIUM location_ליד המעלית רעש חזק בלילה שמפריע לדיירים
OTHER,LOW,צריך לבדוק משהו לא דחוף הדיירים התלוננו על זה,בחדר אשפה,LOW,type_OTHER selected_LOW location_בחדר אשפה צריך לבדוק משהו לא דחוף הדיירים התלוננו על זה
SAFETY,HIGH,שריפה קטנה בלובי זה קורה כבר כמה פעמים,בקומה 5,HIGH,type_SAFETY selected_HIGH location_בקומה 5 שריפה קטנה בלובי זה קורה כבר כמה פעמים
SAFETY,MEDIUM,מרצפת שבורה שעלולה לגרום לנפילה נא לטפל בהקדם,בחדר אשפה,MEDIUM,type_SAFETY selected_MEDIUM location_בחדר אשפה מרצפת שבורה שעלולה לגרום לנפילה נא לטפל בהקדם
CLEANLINESS,MEDIUM,יש ריח לא נעים בלובי כבר יומיים,בכניסה לבניין,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בכניסה לבניין יש ריח לא נעים בלובי כבר יומיים
OTHER,LOW,צריך לבדוק משהו לא דחוף הדיירים התלוננו על זה,בחדר אשפה,LOW,type_OTHER selected_LOW location_בחדר אשפה צריך לבדוק משהו לא דחוף הדיירים התלוננו על זה
NOISE,HIGH,רעש חריג מאוד באמצע הלילה עם צעקות חזקות,בקומה 5,HIGH,type_NOISE selected_HIGH location_בקומה 5 רעש חריג מאוד באמצע הלילה עם צעקות חזקות
CLEANLINESS,MEDIUM,לכלוך חריג בחדר מדרגות נא לטפל בהקדם,ליד ארון החשמל,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ליד ארון החשמל לכלוך חריג בחדר מדרגות נא לטפל בהקדם
CLEANLINESS,MEDIUM,יש מעט אבק ליד הכניסה הדיירים התלוננו על זה,במחסן,LOW,type_CLEANLINESS selected_MEDIUM location_במחסן יש מעט אבק ליד הכניסה הדיירים התלוננו על זה
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע זה קורה כבר כמה פעמים,בחדר אשפה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בחדר אשפה יש הרבה אשפה בחדר אשפה וריח רע זה קורה כבר כמה פעמים
SAFETY,LOW,דלת המחסן לא נסגרת טוב הדיירים התלוננו על זה,בחדר מדרגות,LOW,type_SAFETY selected_LOW location_בחדר מדרגות דלת המחסן לא נסגרת טוב הדיירים התלוננו על זה
CLEANLINESS,HIGH,נזילה חזקה שגורמת להצפה,בחניה,HIGH,type_CLEANLINESS selected_HIGH location_בחניה נזילה חזקה שגורמת להצפה
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות,ליד המעלית,HIGH,type_NOISE selected_HIGH location_ליד המעלית רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות
NOISE,LOW,רעש חירום חזק מהחניה בשעות הלילה,בחדר אשפה,HIGH,type_NOISE selected_LOW location_בחדר אשפה רעש חירום חזק מהחניה בשעות הלילה
SAFETY,HIGH,חוטי חשמל חשופים ליד הכניסה הדיירים התלוננו על זה,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי חוטי חשמל חשופים ליד הכניסה הדיירים התלוננו על זה
CLEANLINESS,MEDIUM,יש ריח לא נעים בלובי כבר יומיים הדיירים התלוננו על זה,ליד המעלית,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ליד המעלית יש ריח לא נעים בלובי כבר יומיים הדיירים התלוננו על זה
OTHER,HIGH,תקלה דחופה מאוד בבניין,,HIGH,type_OTHER selected_HIGH location_ תקלה דחופה מאוד בבניין
NOISE,LOW,שומעים מעט רעש מהשכנים במהלך היום,בכניסה לבניין,LOW,type_NOISE selected_LOW location_בכניסה לבניין שומעים מעט רעש מהשכנים במהלך היום
CLEANLINESS,MEDIUM,לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים נא לטפל בהקדם,ליד ארון החשמל,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ליד ארון החשמל לכלוך חריג בחדר מדרגות זה קורה כבר כמה פעמים נא לטפל בהקדם
SAFETY,HIGH,עשן יוצא מחדר החשמל,בחדר אשפה,HIGH,type_SAFETY selected_HIGH location_בחדר אשפה עשן יוצא מחדר החשמל
OTHER,LOW,צריך לבדוק משהו לא דחוף זה קורה כבר כמה פעמים,בקומה 5,LOW,type_OTHER selected_LOW location_בקומה 5 צריך לבדוק משהו לא דחוף זה קורה כבר כמה פעמים
SAFETY,HIGH,זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם,בקומה 1,HIGH,type_SAFETY selected_HIGH location_בקומה 1 זכוכית שבורה מסוכנת ליד הכניסה נא לטפל בהקדם
OTHER,LOW,בקשה כללית לבדיקה כשאפשר זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בכניסה לבניין,LOW,type_OTHER selected_LOW location_בכניסה לבניין בקשה כללית לבדיקה כשאפשר זה קורה כבר כמה פעמים הדיירים התלוננו על זה
OTHER,HIGH,צריך לבדוק משהו לא דחוף הדיירים התלוננו על זה,בחדר מדרגות,LOW,type_OTHER selected_HIGH location_בחדר מדרגות צריך לבדוק משהו לא דחוף הדיירים התלוננו על זה
SAFETY,MEDIUM,יש ונדליזם ליד המעלית,,MEDIUM,type_SAFETY selected_MEDIUM location_ יש ונדליזם ליד המעלית
NOISE,HIGH,רעש חירום חזק מהחניה בשעות הלילה נא לטפל בהקדם,ליד ארון החשמל,HIGH,type_NOISE selected_HIGH location_ליד ארון החשמל רעש חירום חזק מהחניה בשעות הלילה נא לטפל בהקדם
CLEANLINESS,LOW,פח קטן לא רוקן אבל לא דחוף,בכניסה לבניין,LOW,type_CLEANLINESS selected_LOW location_בכניסה לבניין פח קטן לא רוקן אבל לא דחוף
OTHER,HIGH,תקלה דחופה מאוד בבניין,במחסן,HIGH,type_OTHER selected_HIGH location_במחסן תקלה דחופה מאוד בבניין
SAFETY,LOW,מעקה מעט רופף אבל לא נראה מסוכן כרגע,בקומה 1,LOW,type_SAFETY selected_LOW location_בקומה 1 מעקה מעט רופף אבל לא נראה מסוכן כרגע
NOISE,LOW,רעש חירום חזק מהחניה בשעות הלילה נא לטפל בהקדם הדיירים התלוננו על זה,בקומה 5,HIGH,type_NOISE selected_LOW location_בקומה 5 רעש חירום חזק מהחניה בשעות הלילה נא לטפל בהקדם הדיירים התלוננו על זה
NOISE,LOW,יש רעש חלש מדי פעם אבל לא דחוף זה קורה כבר כמה פעמים נא לטפל בהקדם,בחדר מדרגות,LOW,type_NOISE selected_LOW location_בחדר מדרגות יש רעש חלש מדי פעם אבל לא דחוף זה קורה כבר כמה פעמים נא לטפל בהקדם
CLEANLINESS,LOW,יש כמה ניירות על הרצפה,,LOW,type_CLEANLINESS selected_LOW location_ יש כמה ניירות על הרצפה
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה,בגינה,LOW,type_CLEANLINESS selected_LOW location_בגינה יש מעט אבק ליד הכניסה
SAFETY,HIGH,ריח גז חזק בבניין,בחדר מדרגות,HIGH,type_SAFETY selected_HIGH location_בחדר מדרגות ריח גז חזק בבניין
SAFETY,MEDIUM,זכוכית שבורה מסוכנת ליד הכניסה זה קורה כבר כמה פעמים,בגינה,HIGH,type_SAFETY selected_MEDIUM location_בגינה זכוכית שבורה מסוכנת ליד הכניסה זה קורה כבר כמה פעמים
SAFETY,HIGH,ריח גז חזק בבניין הדיירים התלוננו על זה,בגינה,HIGH,type_SAFETY selected_HIGH location_בגינה ריח גז חזק בבניין הדיירים התלוננו על זה
OTHER,HIGH,אירוע חריג שמצריך תגובה מיידית,בגינה,HIGH,type_OTHER selected_HIGH location_בגינה אירוע חריג שמצריך תגובה מיידית
CLEANLINESS,MEDIUM,צריך ניקיון רגיל בחדר מדרגות,בלובי,LOW,type_CLEANLINESS selected_MEDIUM location_בלובי צריך ניקיון רגיל בחדר מדרגות
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה נא לטפל בהקדם,ליד ארון החשמל,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ליד ארון החשמל שקיות זבל נשארו ליד הכניסה נא לטפל בהקדם
NOISE,MEDIUM,צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים נא לטפל בהקדם,בחדר אשפה,MEDIUM,type_NOISE selected_MEDIUM location_בחדר אשפה צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים נא לטפל בהקדם
OTHER,MEDIUM,תקלה לא מסוכנת אבל מפריעה לדיירים,בגינה,MEDIUM,type_OTHER selected_MEDIUM location_בגינה תקלה לא מסוכנת אבל מפריעה לדיירים
OTHER,LOW,אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים,ליד ארון החשמל,HIGH,type_OTHER selected_LOW location_ליד ארון החשמל אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים
CLEANLINESS,HIGH,לכלוך חמור שעלול לגרום לסכנה בריאותית,במחסן,HIGH,type_CLEANLINESS selected_HIGH location_במחסן לכלוך חמור שעלול לגרום לסכנה בריאותית
NOISE,HIGH,רעש חזק בלילה שמפריע לדיירים זה קורה כבר כמה פעמים,בקומה 1,MEDIUM,type_NOISE selected_HIGH location_בקומה 1 רעש חזק בלילה שמפריע לדיירים זה קורה כבר כמה פעמים
CLEANLINESS,LOW,יש כמה ניירות על הרצפה זה קורה כבר כמה פעמים,בגינה,LOW,type_CLEANLINESS selected_LOW location_בגינה יש כמה ניירות על הרצפה זה קורה כבר כמה פעמים
NOISE,MEDIUM,מישהו הזיז רהיטים לזמן קצר,ליד המעלית,LOW,type_NOISE selected_MEDIUM location_ליד המעלית מישהו הזיז רהיטים לזמן קצר
NOISE,LOW,רעש חריג מאוד באמצע הלילה עם צעקות חזקות זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בכניסה לבניין,HIGH,type_NOISE selected_LOW location_בכניסה לבניין רעש חריג מאוד באמצע הלילה עם צעקות חזקות זה קורה כבר כמה פעמים הדיירים התלוננו על זה
SAFETY,MEDIUM,תאורה חלשה באזור הכניסה זה קורה כבר כמה פעמים,במחסן,LOW,type_SAFETY selected_MEDIUM location_במחסן תאורה חלשה באזור הכניסה זה קורה כבר כמה פעמים
OTHER,MEDIUM,יש בעיה מתמשכת בבניין נא לטפל בהקדם,בגינה,MEDIUM,type_OTHER selected_MEDIUM location_בגינה יש בעיה מתמשכת בבניין נא לטפל בהקדם
CLEANLINESS,MEDIUM,נזילה קטנה שגרמה לרטיבות בקיר,,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ נזילה קטנה שגרמה לרטיבות בקיר
OTHER,MEDIUM,נדרש טיפול של ועד הבית בזמן הקרוב,בכניסה לבניין,MEDIUM,type_OTHER selected_MEDIUM location_בכניסה לבניין נדרש טיפול של ועד הבית בזמן הקרוב
OTHER,LOW,יש הערה קטנה לגבי תחזוקה זה קורה כבר כמה פעמים,,LOW,type_OTHER selected_LOW location_ יש הערה קטנה לגבי תחזוקה זה קורה כבר כמה פעמים
OTHER,MEDIUM,יש בעיה מתמשכת בבניין נא לטפל בהקדם הדיירים התלוננו על זה,ליד ארון החשמל,MEDIUM,type_OTHER selected_MEDIUM location_ליד ארון החשמל יש בעיה מתמשכת בבניין נא לטפל בהקדם הדיירים התלוננו על זה
CLEANLINESS,MEDIUM,יש הרבה אשפה בחדר אשפה וריח רע זה קורה כבר כמה פעמים,בחדר אשפה,MEDIUM,type_CLEANLINESS selected_MEDIUM location_בחדר אשפה יש הרבה אשפה בחדר אשפה וריח רע זה קורה כבר כמה פעמים
NOISE,MEDIUM,רעש חירום חזק מהחניה בשעות הלילה,בחדר מדרגות,HIGH,type_NOISE selected_MEDIUM location_בחדר מדרגות רעש חירום חזק מהחניה בשעות הלילה
SAFETY,HIGH,תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה,בחניה,MEDIUM,type_SAFETY selected_HIGH location_בחניה תאורה לא עובדת בחדר מדרגות וזה מסוכן בלילה
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה הדיירים התלוננו על זה,בקומה 2,LOW,type_CLEANLINESS selected_LOW location_בקומה 2 יש מעט אבק ליד הכניסה הדיירים התלוננו על זה
SAFETY,LOW,יש בורג חסר בשלט של הבניין נא לטפל בהקדם הדיירים התלוננו על זה,בקומה 5,LOW,type_SAFETY selected_LOW location_בקומה 5 יש בורג חסר בשלט של הבניין נא לטפל בהקדם הדיירים התלוננו על זה
NOISE,LOW,מישהו הזיז רהיטים לזמן קצר נא לטפל בהקדם,במחסן,LOW,type_NOISE selected_LOW location_במחסן מישהו הזיז רהיטים לזמן קצר נא לטפל בהקדם
NOISE,HIGH,רעש קל מהחצר בשעות היום נא לטפל בהקדם,בקומה 2,LOW,type_NOISE selected_HIGH location_בקומה 2 רעש קל מהחצר בשעות היום נא לטפל בהקדם
OTHER,HIGH,יש בעיה קטנה שאפשר לטפל בה בהמשך,בחדר אשפה,LOW,type_OTHER selected_HIGH location_בחדר אשפה יש בעיה קטנה שאפשר לטפל בה בהמשך
OTHER,MEDIUM,יש בעיה מתמשכת בבניין,ליד המעלית,MEDIUM,type_OTHER selected_MEDIUM location_ליד המעלית יש בעיה מתמשכת בבניין
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר אשפה,MEDIUM,type_NOISE selected_MEDIUM location_בחדר אשפה מוזיקה חזקה מהדירה מעל כבר כמה שעות זה קורה כבר כמה פעמים הדיירים התלוננו על זה
SAFETY,HIGH,זכוכית שבורה מסוכנת ליד הכניסה,ליד המעלית,HIGH,type_SAFETY selected_HIGH location_ליד המעלית זכוכית שבורה מסוכנת ליד הכניסה
OTHER,LOW,מצב מסוכן שמצריך טיפול בהול,בקומה 1,HIGH,type_OTHER selected_LOW location_בקומה 1 מצב מסוכן שמצריך טיפול בהול
SAFETY,HIGH,מעקה רופף שצריך תיקון בהקדם נא לטפל בהקדם,בקומה 2,MEDIUM,type_SAFETY selected_HIGH location_בקומה 2 מעקה רופף שצריך תיקון בהקדם נא לטפל בהקדם
SAFETY,HIGH,עשן יוצא מחדר החשמל,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי עשן יוצא מחדר החשמל
OTHER,LOW,יש הערה קטנה לגבי תחזוקה,ליד המעלית,LOW,type_OTHER selected_LOW location_ליד המעלית יש הערה קטנה לגבי תחזוקה
NOISE,HIGH,קולות חזקים של שבירה ואלימות מהדירה זה קורה כבר כמה פעמים נא לטפל בהקדם,ליד ארון החשמל,HIGH,type_NOISE selected_HIGH location_ליד ארון החשמל קולות חזקים של שבירה ואלימות מהדירה זה קורה כבר כמה פעמים נא לטפל בהקדם
NOISE,MEDIUM,מישהו הזיז רהיטים לזמן קצר זה קורה כבר כמה פעמים,בחניה,LOW,type_NOISE selected_MEDIUM location_בחניה מישהו הזיז רהיטים לזמן קצר זה קורה כבר כמה פעמים
OTHER,MEDIUM,יש בעיה מתמשכת בבניין,בקומה 5,MEDIUM,type_OTHER selected_MEDIUM location_בקומה 5 יש בעיה מתמשכת בבניין
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים,בחניה,MEDIUM,type_NOISE selected_MEDIUM location_בחניה שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים
SAFETY,LOW,דלת המחסן לא נסגרת טוב זה קורה כבר כמה פעמים,בגינה,LOW,type_SAFETY selected_LOW location_בגינה דלת המחסן לא נסגרת טוב זה קורה כבר כמה פעמים
OTHER,LOW,צריך לבדוק משהו לא דחוף,בחניה,LOW,type_OTHER selected_LOW location_בחניה צריך לבדוק משהו לא דחוף
NOISE,MEDIUM,רעש חזק בלילה שמפריע לדיירים,בלובי,MEDIUM,type_NOISE selected_MEDIUM location_בלובי רעש חזק בלילה שמפריע לדיירים
CLEANLINESS,LOW,יש מעט אבק ליד הכניסה זה קורה כבר כמה פעמים,במחסן,LOW,type_CLEANLINESS selected_LOW location_במחסן יש מעט אבק ליד הכניסה זה קורה כבר כמה פעמים
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד,בחדר אשפה,LOW,type_NOISE selected_LOW location_בחדר אשפה יש דיבורים בקומה אבל זה לא מפריע מאוד
CLEANLINESS,LOW,פח קטן לא רוקן אבל לא דחוף,בחניה,LOW,type_CLEANLINESS selected_LOW location_בחניה פח קטן לא רוקן אבל לא דחוף
CLEANLINESS,HIGH,ביוב עולה ויש ריח חריף מאוד נא לטפל בהקדם,בחדר מדרגות,HIGH,type_CLEANLINESS selected_HIGH location_בחדר מדרגות ביוב עולה ויש ריח חריף מאוד נא לטפל בהקדם
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים נא לטפל בהקדם,בלובי,MEDIUM,type_OTHER selected_MEDIUM location_בלובי תקלה שמשפיעה על כמה דיירים נא לטפל בהקדם
SAFETY,LOW,יש ונדליזם ליד המעלית,בלובי,MEDIUM,type_SAFETY selected_LOW location_בלובי יש ונדליזם ליד המעלית
OTHER,MEDIUM,נדרש טיפול של ועד הבית בזמן הקרוב,בחדר אשפה,MEDIUM,type_OTHER selected_MEDIUM location_בחדר אשפה נדרש טיפול של ועד הבית בזמן הקרוב
CLEANLINESS,LOW,יש קצת לכלוך בלובי זה קורה כבר כמה פעמים נא לטפל בהקדם,,LOW,type_CLEANLINESS selected_LOW location_ יש קצת לכלוך בלובי זה קורה כבר כמה פעמים נא לטפל בהקדם
OTHER,HIGH,אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים,ליד המעלית,HIGH,type_OTHER selected_HIGH location_ליד המעלית אירוע חירום שדורש טיפול מיידי זה קורה כבר כמה פעמים
OTHER,MEDIUM,בעיה חמורה שמסכנת דיירים הדיירים התלוננו על זה,,HIGH,type_OTHER selected_MEDIUM location_ בעיה חמורה שמסכנת דיירים הדיירים התלוננו על זה
SAFETY,MEDIUM,דלת המחסן לא נסגרת טוב,בקומה 2,LOW,type_SAFETY selected_MEDIUM location_בקומה 2 דלת המחסן לא נסגרת טוב
NOISE,HIGH,רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות,בחדר אשפה,HIGH,type_NOISE selected_HIGH location_בחדר אשפה רעש חזק מאוד שמונע מדיירים לישון כבר כמה לילות
SAFETY,LOW,מרצפת מעט עקומה ללא סכנה מיידית,ליד ארון החשמל,LOW,type_SAFETY selected_LOW location_ליד ארון החשמל מרצפת מעט עקומה ללא סכנה מיידית
CLEANLINESS,MEDIUM,נזילה חזקה שגורמת להצפה הדיירים התלוננו על זה,בקומה 5,HIGH,type_CLEANLINESS selected_MEDIUM location_בקומה 5 נזילה חזקה שגורמת להצפה הדיירים התלוננו על זה
SAFETY,HIGH,שריפה קטנה בלובי זה קורה כבר כמה פעמים נא לטפל בהקדם,בלובי,HIGH,type_SAFETY selected_HIGH location_בלובי שריפה קטנה בלובי זה קורה כבר כמה פעמים נא לטפל בהקדם
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות,בלובי,MEDIUM,type_NOISE selected_MEDIUM location_בלובי שיפוצים מרעישים בשעות לא מתאימות
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים נא לטפל בהקדם,בחדר אשפה,MEDIUM,type_NOISE selected_MEDIUM location_בחדר אשפה שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים נא לטפל בהקדם
OTHER,MEDIUM,תקלה שמשפיעה על כמה דיירים,בלובי,MEDIUM,type_OTHER selected_MEDIUM location_בלובי תקלה שמשפיעה על כמה דיירים
CLEANLINESS,MEDIUM,יש כמה ניירות על הרצפה,בחניה,LOW,type_CLEANLINESS selected_MEDIUM location_בחניה יש כמה ניירות על הרצפה
NOISE,MEDIUM,מוזיקה חזקה מהדירה מעל כבר כמה שעות נא לטפל בהקדם,בחדר מדרגות,MEDIUM,type_NOISE selected_MEDIUM location_בחדר מדרגות מוזיקה חזקה מהדירה מעל כבר כמה שעות נא לטפל בהקדם
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים,בחדר מדרגות,MEDIUM,type_NOISE selected_MEDIUM location_בחדר מדרגות שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים
NOISE,MEDIUM,שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים,בקומה 5,MEDIUM,type_NOISE selected_MEDIUM location_בקומה 5 שיפוצים מרעישים בשעות לא מתאימות זה קורה כבר כמה פעמים
CLEANLINESS,HIGH,אשפה מסוכנת מפוזרת בכניסה לבניין נא לטפל בהקדם,בלובי,HIGH,type_CLEANLINESS selected_HIGH location_בלובי אשפה מסוכנת מפוזרת בכניסה לבניין נא לטפל בהקדם
CLEANLINESS,LOW,צריך ניקיון רגיל בחדר מדרגות זה קורה כבר כמה פעמים הדיירים התלוננו על זה,בחדר מדרגות,LOW,type_CLEANLINESS selected_LOW location_בחדר מדרגות צריך ניקיון רגיל בחדר מדרגות זה קורה כבר כמה פעמים הדיירים התלוננו על זה
OTHER,LOW,יש הערה קטנה לגבי תחזוקה נא לטפל בהקדם,ליד המעלית,LOW,type_OTHER selected_LOW location_ליד המעלית יש הערה קטנה לגבי תחזוקה נא לטפל בהקדם
CLEANLINESS,MEDIUM,נזילה קטנה שגרמה לרטיבות בקיר נא לטפל בהקדם,ליד המעלית,MEDIUM,type_CLEANLINESS selected_MEDIUM location_ליד המעלית נזילה קטנה שגרמה לרטיבות בקיר נא לטפל בהקדם
SAFETY,LOW,יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים,בקומה 1,LOW,type_SAFETY selected_LOW location_בקומה 1 יש בורג חסר בשלט של הבניין זה קורה כבר כמה פעמים
SAFETY,HIGH,שריפה קטנה בלובי הדיירים התלוננו על זה,ליד המעלית,HIGH,type_SAFETY selected_HIGH location_ליד המעלית שריפה קטנה בלובי הדיירים התלוננו על זה
OTHER,HIGH,בקשה כללית לבדיקה כשאפשר,בלובי,LOW,type_OTHER selected_HIGH location_בלובי בקשה כללית לבדיקה כשאפשר
NOISE,MEDIUM,רעש מתמשך מהחניה זה קורה כבר כמה פעמים,במחסן,MEDIUM,type_NOISE selected_MEDIUM location_במחסן רעש מתמשך מהחניה זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,הצפה בחדר מדרגות ומים זורמים זה קורה כבר כמה פעמים,בלובי,HIGH,type_CLEANLINESS selected_MEDIUM location_בלובי הצפה בחדר מדרגות ומים זורמים זה קורה כבר כמה פעמים
NOISE,HIGH,צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים,בלובי,MEDIUM,type_NOISE selected_HIGH location_בלובי צעקות ורעש בחדר מדרגות זה קורה כבר כמה פעמים
SAFETY,LOW,יש בורג חסר בשלט של הבניין נא לטפל בהקדם הדיירים התלוננו על זה,בקומה 1,LOW,type_SAFETY selected_LOW location_בקומה 1 יש בורג חסר בשלט של הבניין נא לטפל בהקדם הדיירים התלוננו על זה
SAFETY,LOW,מעקה מעט רופף אבל לא נראה מסוכן כרגע נא לטפל בהקדם,בגינה,LOW,type_SAFETY selected_LOW location_בגינה מעקה מעט רופף אבל לא נראה מסוכן כרגע נא לטפל בהקדם
NOISE,MEDIUM,רעש מתמשך מהחניה זה קורה כבר כמה פעמים,בחדר אשפה,MEDIUM,type_NOISE selected_MEDIUM location_בחדר אשפה רעש מתמשך מהחניה זה קורה כבר כמה פעמים
CLEANLINESS,MEDIUM,שקיות זבל נשארו ליד הכניסה נא לטפל בהקדם,במחסן,MEDIUM,type_CLEANLINESS selected_MEDIUM location_במחסן שקיות זבל נשארו ליד הכניסה נא לטפל בהקדם
OTHER,MEDIUM,יש בעיה קטנה שאפשר לטפל בה בהמשך,ליד ארון החשמל,LOW,type_OTHER selected_MEDIUM location_ליד ארון החשמל יש בעיה קטנה שאפשר לטפל בה בהמשך
CLEANLINESS,HIGH,נזילה חזקה שגורמת להצפה,במחסן,HIGH,type_CLEANLINESS selected_HIGH location_במחסן נזילה חזקה שגורמת להצפה
NOISE,LOW,יש דיבורים בקומה אבל זה לא מפריע מאוד זה קורה כבר כמה פעמים,בקומה 2,LOW,type_NOISE selected_LOW location_בקומה 2 יש דיבורים בקומה אבל זה לא מפריע מאוד זה קורה כבר כמה פעמים
OTHER,HIGH,תקלה דחופה מאוד בבניין,בחדר מדרגות,HIGH,type_OTHER selected_HIGH location_בחדר מדרגות תקלה דחופה מאוד בבניין
SAFETY,MEDIUM,מעקה רופף שצריך תיקון בהקדם,בכניסה לבניין,MEDIUM,type_SAFETY selected_MEDIUM location_בכניסה לבניין מעקה רופף שצריך תיקון בהקדם
CLEANLINESS,LOW,הצפה בחדר מדרגות ומים זורמים,בחדר אשפה,HIGH,type_CLEANLINESS selected_LOW location_בחדר אשפה הצפה בחדר מדרגות ומים זורמים
